prefab	display	type	stack	weight	value	teleportable	token
ArrowFire	$item_arrow_fire	Ammo	100	0.1	0	true	$item_arrow_fire
ArrowFlint	$item_arrow_flint	Ammo	100	0.1	0	true	$item_arrow_flint
ArrowFrost	$item_arrow_frost	Ammo	100	0.1	0	true	$item_arrow_frost
ArrowIron	$item_arrow_iron	Ammo	100	0.1	0	true	$item_arrow_iron
ArrowNeedle	$item_arrow_needle	Ammo	100	0.1	0	true	$item_arrow_needle
ArrowObsidian	$item_arrow_obsidian	Ammo	100	0.1	0	true	$item_arrow_obsidian
ArrowPoison	$item_arrow_poison	Ammo	100	0.1	0	true	$item_arrow_poison
ArrowSilver	$item_arrow_silver	Ammo	100	0.1	0	true	$item_arrow_silver
ArrowWood	$item_arrow_wood	Ammo	100	0.1	0	true	$item_arrow_wood
AskBladder	$item_askbladder	Material	50	0.5	0	true	$item_askbladder
AskHide	$item_askhide	Material	50	1	0	true	$item_askhide
Asksvin_Bite	lox bite	OneHandedWeapon	1	1	0	true	lox bite
Asksvin_Headbutt	Dragon claw left	OneHandedWeapon	1	1	0	true	Dragon claw left
Asksvin_Pounce	lox bite	OneHandedWeapon	1	1	0	true	lox bite
Asksvin_Turnaround	lox bite	OneHandedWeapon	1	1	0	true	lox bite
AsksvinCarrionNeck	$item_asksvincarrionneck	Material	50	2	0	true	$item_asksvincarrionneck
AsksvinCarrionPelvic	$item_asksvincarrionpelvic	Material	50	2	0	true	$item_asksvincarrionpelvic
AsksvinCarrionRibcage	$item_asksvincarrionribcage	Material	50	5	0	true	$item_asksvincarrionribcage
AsksvinCarrionSkull	$item_asksvincarrionskull	Material	50	2	0	true	$item_asksvincarrionskull
AsksvinEgg	$item_asksvin_egg	Misc	20	1	0	true	$item_asksvin_egg
AsksvinMeat	$item_asksvin_meat	Material	20	1	0	true	$item_asksvin_meat
AtgeirBlackmetal	$item_atgeir_blackmetal	TwoHandedWeapon	1	2.5	0	true	$item_atgeir_blackmetal
AtgeirBronze	$item_atgeir_bronze	TwoHandedWeapon	1	2.5	0	true	$item_atgeir_bronze
AtgeirHimminAfl	$item_atgeir_himminafl	TwoHandedWeapon	1	2.5	0	true	$item_atgeir_himminafl
AtgeirIron	$item_atgeir_iron	TwoHandedWeapon	1	2.5	0	true	$item_atgeir_iron
AtgeirWood	$item_atgeir_wood	TwoHandedWeapon	1	2.5	0	true	$item_atgeir_wood
AxeBerzerkr	$item_axe_berzerkr	TwoHandedWeapon	1	2	0	true	$item_axe_berzerkr
AxeBerzerkrBlood	$item_axe_berzerkr_blood	TwoHandedWeapon	1	2	0	true	$item_axe_berzerkr_blood
AxeBerzerkrLightning	$item_axe_berzerkr_lightning	TwoHandedWeapon	1	2	0	true	$item_axe_berzerkr_lightning
AxeBerzerkrNature	$item_axe_berzerkr_nature	TwoHandedWeapon	1	2	0	true	$item_axe_berzerkr_nature
AxeBlackMetal	$item_axe_blackmetal	OneHandedWeapon	1	2	0	true	$item_axe_blackmetal
AxeBronze	$item_axe_bronze	OneHandedWeapon	1	2	0	true	$item_axe_bronze
AxeEarly	$item_axe_early	TwoHandedWeapon	1	2	0	true	$item_axe_early
AxeFlint	$item_axe_flint	OneHandedWeapon	1	1.5	0	true	$item_axe_flint
AxeHead1	$item_axehead1	Material	10	2	0	true	$item_axehead1
AxeHead2	$item_axehead2	Material	10	2	0	true	$item_axehead2
AxeIron	$item_axe_iron	OneHandedWeapon	1	2	0	true	$item_axe_iron
AxeJotunBane	$item_axe_jotunbane	OneHandedWeapon	1	2	0	true	$item_axe_jotunbane
AxeStone	$item_axe_stone	OneHandedWeapon	1	1.5	0	true	$item_axe_stone
AxeWood	$item_axe_wood	OneHandedWeapon	1	2	0	true	$item_axe_wood
babyseeker_attack	Dragon claw left	OneHandedWeapon	1	1	0	true	Dragon claw left
BarberKit	$item_barberkit	Misc	1	2	0	true	$item_barberkit
Barley	$item_barley	Material	100	0.2	0	true	$item_barley
BarleyFlour	$item_barleyflour	Misc	50	0.2	0	true	$item_barleyflour
BarleyWine	$item_barleywine	Consumable	10	1	0	true	$item_barleywine
BarleyWineBase	$item_barleywinebase	Material	1	1	0	true	$item_barleywinebase
BarrelRings	$item_barrelrings	Misc	20	2	0	true	$item_barrelrings
bat_melee	Bat melee	OneHandedWeapon	1	1	0	true	Bat melee
Battleaxe	$item_battleaxe	TwoHandedWeapon	1	2.5	0	true	$item_battleaxe
BattleaxeBlackmetal	$item_battleaxe_blackmetal	TwoHandedWeapon	1	2.5	0	true	$item_battleaxe_blackmetal
BattleaxeCrystal	$item_battleaxe_crystal	TwoHandedWeapon	1	2.5	0	true	$item_battleaxe_crystal
BattleaxeSkullSplittur	$item_battleaxe_skullsplittur	TwoHandedWeapon	1	2.5	0	true	$item_battleaxe_skullsplittur
BattleaxeWood	$item_battleaxe_wood	TwoHandedWeapon	1	2.5	0	true	$item_battleaxe_wood
Beard1	$customization_beard01	Customization	1	1	0	true	$customization_beard01
Beard10	$customization_beard10	Customization	1	1	0	true	$customization_beard10
Beard11	$customization_beard11	Customization	1	1	0	true	$customization_beard11
Beard12	$customization_beard12	Customization	1	1	0	true	$customization_beard12
Beard13	$customization_beard13	Customization	1	1	0	true	$customization_beard13
Beard14	$customization_beard14	Customization	1	1	0	true	$customization_beard14
Beard15	$customization_beard15	Customization	1	1	0	true	$customization_beard15
Beard16	$customization_beard16	Customization	1	1	0	true	$customization_beard16
Beard17	$customization_beard17	Customization	1	1	0	true	$customization_beard17
Beard18	$customization_beard18	Customization	1	1	0	true	$customization_beard18
Beard19	$customization_beard19	Customization	1	1	0	true	$customization_beard19
Beard2	$customization_beard02	Customization	1	1	0	true	$customization_beard02
Beard20	$customization_beard20	Customization	1	1	0	true	$customization_beard20
Beard21	$customization_beard21	Customization	1	1	0	true	$customization_beard21
Beard22	$customization_beard22	Customization	1	1	0	true	$customization_beard22
Beard23	$customization_beard23	Customization	1	1	0	true	$customization_beard23
Beard24	$customization_beard24	Customization	1	1	0	true	$customization_beard24
Beard25	$customization_beard25	Customization	1	1	0	true	$customization_beard25
Beard26	$customization_beard26	Customization	1	1	0	true	$customization_beard26
Beard3	$customization_beard03	Customization	1	1	0	true	$customization_beard03
Beard4	$customization_beard04	Customization	1	1	0	true	$customization_beard04
Beard5	$customization_beard05	Customization	1	1	0	true	$customization_beard05
Beard6	$customization_beard06	Customization	1	1	0	true	$customization_beard06
Beard7	$customization_beard07	Customization	1	1	0	true	$customization_beard07
Beard8	$customization_beard08	Customization	1	1	0	true	$customization_beard08
Beard9	$customization_beard09	Customization	1	1	0	true	$customization_beard09
BeardNone	$customization_nobeard	Customization	1	1	0	true	$customization_nobeard
BeechSeeds	$item_beechseeds	Material	100	0.1	0	true	$item_beechseeds
Bell	$item_bell	Misc	9	0.5	0	true	$item_bell
BellFragment	$item_bellfragment	Material	9	0.5	0	true	$item_bellfragment
BeltStrength	$item_beltstrength	Utility	1	2	0	true	$item_beltstrength
Bilebag	$item_bilebag	Material	50	0.5	0	true	$item_bilebag
BirchSeeds	$item_birchseeds	Material	100	0.1	0	true	$item_birchseeds
bjorn_bite	bjorn bite	OneHandedWeapon	1	1	0	true	bjorn bite
bjorn_claws	bjorn bite	OneHandedWeapon	1	1	0	true	bjorn bite
bjorn_slam	slap	OneHandedWeapon	1	1	0	true	slap
bjorn_swipe_combo	bjorn bite	OneHandedWeapon	1	1	0	true	bjorn bite
bjorn_swipe_l	bjorn bite	OneHandedWeapon	1	1	0	true	bjorn bite
bjorn_swipe_r	bjorn bite	OneHandedWeapon	1	1	0	true	bjorn bite
BjornHide	$item_bjornhide	Material	50	1	0	true	$item_bjornhide
BjornMeat	$item_bjorn_meat	Material	20	1	0	true	$item_bjorn_meat
BjornPaw	$item_bjornpaw	Material	50	0.5	0	true	$item_bjornpaw
BlackCore	$item_blackcore	Material	20	1	0	true	$item_blackcore
BlackMarble	$item_blackmarble	Material	50	2	0	true	$item_blackmarble
BlackMetal	$item_blackmetal	Material	30	12	0	false	$item_blackmetal
BlackMetalScrap	$item_blackmetalscrap	Material	30	10	0	false	$item_blackmetalscrap
BlackSoup	$item_blacksoup	Consumable	10	1	0	true	$item_blacksoup
Blackwood	$item_blackwood	Material	50	2	0	true	$item_blackwood
blob_attack_aoe	fart	OneHandedWeapon	1	1	0	true	fart
blob_frost_attack_aoe	fart	OneHandedWeapon	1	1	0	true	fart
blobelite_attack_aoe	fart	OneHandedWeapon	1	1	0	true	fart
blobLava_attack_aoe		OneHandedWeapon	1	1	0	true	
blobtar_attack	fireballattack	OneHandedWeapon	1	1	0	true	fireballattack
BlobVial	$item_blobvial	Material	10	1	0	true	$item_blobvial
Bloodbag	$item_bloodbag	Material	50	0.5	0	true	$item_bloodbag
BloodPudding	$item_bloodpudding	Consumable	10	1	0	true	$item_bloodpudding
Blueberries	$item_blueberries	Consumable	50	0.1	0	true	$item_blueberries
boar_base_attack	boar attack1	OneHandedWeapon	1	1	0	true	boar attack1
BoarJerky	$item_boarjerky	Consumable	20	0.5	0	true	$item_boarjerky
BogWitchKvastur_attack	jaws	OneHandedWeapon	1	1	0	true	jaws
BoltBlackmetal	$item_bolt_blackmetal	Ammo	100	0.1	0	true	$item_bolt_blackmetal
BoltBone	$item_bolt_bone	Ammo	100	0.1	0	true	$item_bolt_bone
BoltCarapace	$item_bolt_carapace	Ammo	100	0.1	0	true	$item_bolt_carapace
BoltCharred	$item_bolt_charred	Ammo	100	0.1	0	true	$item_bolt_charred
BoltIron	$item_bolt_iron	Ammo	100	0.1	0	true	$item_bolt_iron
BombBile	$item_bilebomb	OneHandedWeapon	50	0.3	0	true	$item_bilebomb
BombBlob_Frost	$item_bombblob_frost	OneHandedWeapon	50	0.3	0	true	$item_bombblob_frost
BombBlob_Lava	$item_bombblob_lava	OneHandedWeapon	50	0.3	0	true	$item_bombblob_lava
BombBlob_Poison	$item_bombblob_poison	OneHandedWeapon	50	0.3	0	true	$item_bombblob_poison
BombBlob_PoisonElite	$item_bombblob_poisonelite	OneHandedWeapon	50	0.3	0	true	$item_bombblob_poisonelite
BombBlob_Tar	$item_bombblob_tar	OneHandedWeapon	50	0.3	0	true	$item_bombblob_tar
BombLava	$item_lavabomb	OneHandedWeapon	50	0.3	0	true	$item_lavabomb
BombOoze	$item_oozebomb	OneHandedWeapon	50	0.3	0	true	$item_oozebomb
BombSiege	$item_catapult_ammo	Material	50	0.3	0	true	$item_catapult_ammo
BombSmoke	$item_smokebomb	OneHandedWeapon	50	0.3	0	true	$item_smokebomb
BoneFragments	$item_bonefragments	Material	50	0.5	0	true	$item_bonefragments
bonemass_attack_aoe	heal	OneHandedWeapon	1	1	0	true	heal
bonemass_attack_punch	slap	OneHandedWeapon	1	1	0	true	slap
bonemass_attack_spawn	heal	OneHandedWeapon	1	1	0	true	heal
bonemass_attack_throw	slime throw	OneHandedWeapon	1	1	0	true	slime throw
BonemawSerpent_bite	Serpent bite	OneHandedWeapon	1	1	0	true	Serpent bite
BonemawSerpent_breath	Fallen Valkyrie Poison Breath	OneHandedWeapon	1	1	0	true	Fallen Valkyrie Poison Breath
BonemawSerpent_ram	Serpent bite	OneHandedWeapon	1	1	0	true	Serpent bite
BonemawSerpent_spit	bonemaw spit	OneHandedWeapon	1	1	0	true	bonemaw spit
BonemawSerpent_taunt	Serpent Taunt	OneHandedWeapon	1	1	0	true	Serpent Taunt
BoneMawSerpentMeat	$item_bonemawmeat	Material	50	10	0	true	$item_bonemawmeat
BonemawSerpentScale	$item_bonemawscale	Material	50	2	0	true	$item_bonemawscale
BonemawSerpentTooth	$item_bonemawtooth	Material	50	2	0	true	$item_bonemawtooth
Bow	$item_bow	Bow	1	1.5	0	true	$item_bow
BowAshlands	$item_bow_ashlands	Bow	1	1.5	0	true	$item_bow_ashlands
BowAshlandsBlood	$item_bow_ashlandsblood	Bow	1	1.5	0	true	$item_bow_ashlandsblood
BowAshlandsRoot	$item_bow_ashlandsroot	Bow	1	1.5	0	true	$item_bow_ashlandsroot
BowAshlandsStorm	$item_bow_ashlandsstorm	Bow	1	1.5	0	true	$item_bow_ashlandsstorm
BowDraugrFang	$item_bow_draugrfang	Bow	1	1.5	0	true	$item_bow_draugrfang
BowFineWood	$item_bow_finewood	Bow	1	1.5	0	true	$item_bow_finewood
BowHuntsman	$item_bow_huntsman	Bow	1	1.5	0	true	$item_bow_huntsman
BowSpineSnap	$item_bow_snipesnap	Bow	1	1.5	0	true	$item_bow_snipesnap
Bread	$item_bread	Consumable	20	0.5	0	true	$item_bread
BreadDough	$item_breaddough	Material	20	0.5	0	true	$item_breaddough
Bronze	$item_bronze	Material	30	12	0	false	$item_bronze
BronzeNails	$item_bronzenails	Material	100	0.5	0	true	$item_bronzenails
BronzeScrap	$item_bronzescrap	Material	30	10	0	false	$item_bronzescrap
BugMeat	$item_bug_meat	Material	20	1	0	true	$item_bug_meat
CandleWick	$item_candlewick	Material	50	0.3	0	true	$item_candlewick
CapeAsh	$item_cape_ash	Shoulder	1	4	0	true	$item_cape_ash
CapeAsksvin	$item_cape_asksvin	Shoulder	1	4	0	true	$item_cape_asksvin
CapeDeerHide	$item_cape_deerhide	Shoulder	1	4	0	true	$item_cape_deerhide
CapeFeather	$item_cape_feather	Shoulder	1	4	0	true	$item_cape_feather
CapeLinen	$item_cape_linen	Shoulder	1	4	0	true	$item_cape_linen
CapeLox	$item_cape_lox	Shoulder	1	4	0	true	$item_cape_lox
CapeOdin	$item_cape_odin	Shoulder	1	4	0	true	$item_cape_odin
CapeTest	CAPE TEST	Shoulder	1	4	0	true	CAPE TEST
CapeTrollHide	$item_cape_trollhide	Shoulder	1	4	0	true	$item_cape_trollhide
CapeWolf	$item_cape_wolf	Shoulder	1	4	0	true	$item_cape_wolf
Carapace	$item_carapace	Material	50	2	0	true	$item_carapace
Carrot	$item_carrot	Consumable	50	0.3	0	true	$item_carrot
CarrotSeeds	$item_carrotseeds	Material	100	0.1	0	true	$item_carrotseeds
CarrotSoup	$item_carrotsoup	Consumable	10	1	0	true	$item_carrotsoup
Catapult_ammo	$item_catapult_training_ammo	Material	50	0.3	0	true	$item_catapult_training_ammo
CelestialFeather	$item_celestialfeather	Material	50	0.5	0	true	$item_celestialfeather
CeramicPlate	$item_ceramicplate	Material	30	2	0	true	$item_ceramicplate
Chain	$item_chain	Material	50	2	0	true	$item_chain
CharcoalResin	$item_charcoalresin	Material	50	0.3	0	true	$item_charcoalresin
charred_bow	Bow	Bow	1	1	0	true	Bow
charred_bow_Fader	Bow	Bow	1	1	0	true	Bow
charred_bow_volley	Bow	Bow	1	1	0	true	Bow
charred_bow_volley_Fader	Bow	Bow	1	1	0	true	Bow
Charred_Breastplate	Iron plate armor	Chest	1	1	0	true	Iron plate armor
charred_dyrnwyn_greatsword_feint	Charred Sword	TwoHandedWeapon	1	1	0	true	Charred Sword
charred_dyrnwyn_greatsword_swing	Charred Sword	TwoHandedWeapon	1	1	0	true	Charred Sword
charred_dyrnwyn_greatsword_thrust	Charred Sword	TwoHandedWeapon	1	1	0	true	Charred Sword
charred_dyrnwyn_greatsword_thrustfeint	Charred Sword	TwoHandedWeapon	1	1	0	true	Charred Sword
charred_fader_greatsword_feint	Charred Sword	TwoHandedWeapon	1	1	0	true	Charred Sword
charred_fader_greatsword_swing	Charred Sword	TwoHandedWeapon	1	1	0	true	Charred Sword
charred_fader_greatsword_thrust	Charred Sword	TwoHandedWeapon	1	1	0	true	Charred Sword
charred_fader_greatsword_thrustfeint	Charred Sword	TwoHandedWeapon	1	1	0	true	Charred Sword
charred_greatsword_feint	Charred Sword	TwoHandedWeapon	1	1	0	true	Charred Sword
charred_greatsword_swing	Charred Sword	TwoHandedWeapon	1	1	0	true	Charred Sword
charred_greatsword_thrust	Charred Sword	TwoHandedWeapon	1	1	0	true	Charred Sword
charred_greatsword_thrustfeint	Charred Sword	TwoHandedWeapon	1	1	0	true	Charred Sword
Charred_Helmet	Iron plate armor	Helmet	1	1	0	true	Iron plate armor
Charred_HipCloth	Iron plate armor	Legs	1	1	0	true	Iron plate armor
Charred_MageCloths	Iron plate armor	Chest	1	1	0	true	Iron plate armor
charred_magestaff_fire	Bow	TwoHandedWeapon	1	1	0	true	Bow
charred_magestaff_summon	Bow	TwoHandedWeapon	1	1	0	true	Bow
charred_twitcher_scratch_l	Charred Sword	TwoHandedWeapon	1	1	0	true	Charred Sword
charred_twitcher_scratch_r	Charred Sword	TwoHandedWeapon	1	1	0	true	Charred Sword
charred_twitcher_throw	Bow	Bow	1	1	0	true	Bow
CharredBone	$item_charredbone	Material	50	0.5	0	true	$item_charredbone
CharredCogwheel	$item_charredcogwheel	Material	10	5	0	false	$item_charredcogwheel
Charredskull	$item_charredskull	Material	50	2	0	true	$item_charredskull
chest_hildir1	$item_chest_hildir1	Misc	1	200	0	false	$item_chest_hildir1
chest_hildir2	$item_chest_hildir2	Misc	1	200	0	false	$item_chest_hildir2
chest_hildir3	$item_chest_hildir3	Misc	1	200	0	false	$item_chest_hildir3
ChickenEgg	$item_chicken_egg	Misc	20	1	0	true	$item_chicken_egg
ChickenMeat	$item_chicken_meat	Material	20	1	0	true	$item_chicken_meat
Chitin	$item_chitin	Material	50	2	0	true	$item_chitin
Cloudberry	$item_cloudberries	Consumable	50	0.1	0	true	$item_cloudberries
Club	$item_club	OneHandedWeapon	1	2	0	true	$item_club
Coal	$item_coal	Material	50	2	0	true	$item_coal
Coins	$item_coins	Material	999	0.1	1	true	$item_coins
CookedAsksvinMeat	$item_asksvin_meat_cooked	Consumable	20	1	0	true	$item_asksvin_meat_cooked
CookedBjornMeat	$item_bjorn_meat_cooked	Consumable	20	1	0	true	$item_bjorn_meat_cooked
CookedBoneMawSerpentMeat	$item_bonemawmeat_cooked	Consumable	50	10	0	true	$item_bonemawmeat_cooked
CookedBugMeat	$item_bug_meat_cooked	Consumable	20	1	0	true	$item_bug_meat_cooked
CookedChickenMeat	$item_chicken_meat_cooked	Consumable	20	1	0	true	$item_chicken_meat_cooked
CookedDeerMeat	$item_deer_meat_cooked	Consumable	20	1	0	true	$item_deer_meat_cooked
CookedEgg	$item_egg_cooked	Consumable	20	1	0	true	$item_egg_cooked
CookedHareMeat	$item_hare_meat_cooked	Consumable	20	1	0	true	$item_hare_meat_cooked
CookedLoxMeat	$item_loxmeat_cooked	Consumable	20	2	0	true	$item_loxmeat_cooked
CookedMeat	$item_boar_meat_cooked	Consumable	20	1	0	true	$item_boar_meat_cooked
CookedVoltureMeat	$item_volture_meat_cooked	Consumable	20	1	0	true	$item_volture_meat_cooked
CookedWolfMeat	$item_wolf_meat_cooked	Consumable	20	1	0	true	$item_wolf_meat_cooked
Copper	$item_copper	Material	30	12	0	false	$item_copper
CopperOre	$item_copperore	Material	30	10	0	false	$item_copperore
CopperScrap	$item_copperscrap	Material	30	10	0	false	$item_copperscrap
CrossbowArbalest	$item_crossbow_arbalest	Bow	1	1.5	0	true	$item_crossbow_arbalest
CrossbowRipper	$item_crossbow_ripper	Bow	1	1.5	0	true	$item_crossbow_ripper
CrossbowRipperBlood	$item_crossbow_ripper_blood	Bow	1	1.5	0	true	$item_crossbow_ripper_blood
CrossbowRipperLightning	$item_crossbow_ripper_lightning	Bow	1	1.5	0	true	$item_crossbow_ripper_lightning
CrossbowRipperNature	$item_crossbow_ripper_nature	Bow	1	1.5	0	true	$item_crossbow_ripper_nature
CryptKey	$item_cryptkey	Misc	1	0.1	0	true	$item_cryptkey
Crystal	$item_crystal	Material	50	1	0	true	$item_crystal
Cultivator	$item_cultivator	Tool	1	2	0	true	$item_cultivator
CuredSquirrelHamstring	$item_curedsquirrelhamstring	Material	50	0.5	0	true	$item_curedsquirrelhamstring
Dandelion	$item_dandelion	Material	50	0.1	0	true	$item_dandelion
Deathsquito_sting	Wraith melee	OneHandedWeapon	1	1	0	true	Wraith melee
DeerHide	$item_deerhide	Material	50	1	0	true	$item_deerhide
DeerMeat	$item_deer_meat	Material	20	1	0	true	$item_deer_meat
DeerStew	$item_deerstew	Consumable	10	1	0	true	$item_deerstew
Demister	$item_demister	Utility	1	0.1	0	true	$item_demister
dragon_bite	Dragon claw left	OneHandedWeapon	1	1	0	true	Dragon claw left
dragon_claw_left	Dragon claw left	OneHandedWeapon	1	1	0	true	Dragon claw left
dragon_claw_right	Dragon claw left	OneHandedWeapon	1	1	0	true	Dragon claw left
dragon_coldbreath	dragon breath	OneHandedWeapon	1	1	0	true	dragon breath
dragon_coldbreath_OLD	dragon breath	OneHandedWeapon	1	1	0	true	dragon breath
dragon_spit_shotgun	cold ball	OneHandedWeapon	1	1	0	true	cold ball
dragon_taunt	scream	OneHandedWeapon	1	1	0	true	scream
DragonEgg	$item_dragonegg	Misc	1	200	0	false	$item_dragonegg
DragonTear	$item_dragontear	Misc	50	1	0	true	$item_dragontear
draugr_arrow	Ironhead arrow	Ammo	20	1	0	true	Ironhead arrow
draugr_axe	Dragur axe	OneHandedWeapon	1	1	0	true	Dragur axe
draugr_bow	Bow	Bow	1	1	0	true	Bow
draugr_sword	Dragur axe	OneHandedWeapon	1	1	0	true	Dragur axe
Dverger_melee	Club	OneHandedWeapon	1	1	0	true	Club
Dverger_meleeAshlands	Club	OneHandedWeapon	1	1	0	true	Club
DvergerArbalest	$item_crossbow_arbalest	Utility	1	1.5	0	true	$item_crossbow_arbalest
DvergerArbalest_shoot	$item_crossbow_arbalest	OneHandedWeapon	1	1.5	0	true	$item_crossbow_arbalest
DvergerArbalest_shootAshlands	$item_crossbow_arbalest	OneHandedWeapon	1	1.5	0	true	$item_crossbow_arbalest
DvergerHairFemale	Iron plate armor	Legs	1	1	0	true	Iron plate armor
DvergerHairFemale_Redhair	Iron plate armor	Legs	1	1	0	true	Iron plate armor
DvergerHairMale	Iron plate armor	Helmet	1	1	0	true	Iron plate armor
DvergerHairMale_Redbeard	Iron plate armor	Helmet	1	1	0	true	Iron plate armor
DvergerMistile	Club	OneHandedWeapon	1	1	0	true	Club
DvergerStaffBlocker	Club	OneHandedWeapon	1	1	0	true	Club
DvergerStaffFire	Club	Utility	1	1	0	true	Club
DvergerStaffFire_clusterbomb	Club	OneHandedWeapon	1	1	0	true	Club
DvergerStaffFire_fireball	Club	OneHandedWeapon	1	1	0	true	Club
