prefab	name	family	player_item	tier	biome	source	station	station_level	ingredients	ingredient_types	ingredient_units	drop_rate	boss_gated	limited	trader_price	rarity	complexity	anchor	proposed_value	confidence	wiki_page	exclude_reason	note
CopperOre	Copper ore	material	true	1	Meadows	gather		0		0	0	na	false	false	0	2	1	5	5	high	Copper ore		Meadows ore for Bronze
Amber	Amber	material	true	1	Meadows, Black Forest, Swamp	gather		0		0	0	na	false	false	5	2	1	7	7	high	Amber		Found in chests and Burial Chambers, sellable valuable
Copper	Copper	material	true	1	Meadows	smelt	Smelter	0	Copper ore x1	1	1	na	false	false	0	2	2		8	high	Copper		Basic metal for Black Forest gear
SpiceForests	Woodland Herb Blend	material	true	1	N/A	trader		0		0	0	na	true	false	24	3	1		24	high	Woodland Herb Blend		Bog Witch purchase (120 coins per 5), requires Elder defeated
Thunderstone	Thunder Stone	material	true	1	N/A	trader		0		0	0	na	true	false	50	3	1		50	high	Thunder Stone		Haldor purchase (50 coins each), requires Elder defeated
VineGreenSeeds	Ivy Seeds	material	true	1	N/A	trader		0		0	0	na	true	false	22	3	1		22	high	Ivy Seeds		Bog Witch purchase (65 coins per 3); plants Ivy with Cultivator
YmirRemains	Ymir Flesh	material	true	1	N/A	trader		0		0	0	na	true	false	120	3	1		120	high	Ymir Flesh		Haldor purchase (120 coins each), requires Elder defeated
HardAntler	Hard antler	material	true	1	Meadows	boss_drop		0		0	0	very_rare	true	false	0	4	1		15	high	Hard Antler		Boss drop from Eikthyr; guaranteed 3 per defeat. First boss progression gate.
AmberPearl	Amber pearl	material	true	1	Swamp	gather		0		0	0	na	false	false	10	3	1	14	14	high	Amber pearl		Found in Sunken Crypts, less common than Amber
FeastMeadows_Material	Whole roasted Meadow boar	material	true	1	Meadows	craft	Food preparation table	1	Cooked deer meat x2, Cooked boar meat x5, Dandelion x4, Woodland herb blend x1	4	12	na	true	false	0	2	5		25	high	Whole Roasted Meadow Boar		Early feast requiring cooked materials and Woodland herb blend
Ruby	Ruby	material	true	1	Swamp	gather		0		0	0	na	false	false	20	3	1	29	20	high	Ruby		Rare gem from burial chambers/sunken crypts
SilverNecklace	Silver necklace	material	true	1	Swamp	gather		0		0	0	na	false	false	30	3	1	43	30	high	Silver necklace		Found in graves/crypts. Reference: SilverNecklace = 43 in mod
TinOre	Tin Ore	material	true	2	Black Forest	gather		0		0	0	na	false	false	0	1	1	5	5	high	Tin Ore		Abundant gather from Tin deposits in Black Forest near water; reference scale 5
Thistle	Thistle	material	true	2	Black Forest	gather		0		0	0	na	false	false	0	1	1		3	high	Thistle		Gathered from Black Forest and Swamp; respawns after 240 min
TrollHide	Troll Hide	material	true	2	Black Forest	drop		0		0	0	common	false	false	0	2	1	6	6	high	Troll Hide		Dropped by Trolls, bonus from Trollfish; reference scale 6
BronzeScrap	Bronze scrap	material	true	2	Black Forest	gather		0		0	0	na	false	false	0	2	1		8	high	Bronze scrap		Found in dungeons, can be smelted
BronzeNails	Bronze nails	material	true	2	Black Forest	craft	Forge	1	Bronze x1	1	1	na	false	false	0	2	2		5	high	Bronze nails		Building component
MeadBaseHealthMinor	Mead base: Minor healing	material	true	2	Plains	brew	Mead ketill	1	Honey x10, Blueberries x5, Raspberries x10, Dandelion x1	3	7	na	false	false	0	2	2		12	high	Minor Healing Mead		Mead base; basic health recovery; reference scale: 12.
MeadBaseTasty	Mead base: Tasty	material	true	2	Meadows	craft	Mead ketill	1	Honey x10, Raspberries x10, Blueberries x5	3	25	na	false	false	0	2	2		8	high	Tasty Mead		Freely craftable mead base from common materials
Tin	Tin	material	true	2	N/A	craft	Smelter	1	Tin ore x1	1	1	na	false	false	0	2	2		5	high	Tin		Smelted from Tin ore (1:1 ratio); reference scale 5
Bronze	Bronze	material	true	2	Black Forest	smelt	Smelter	0	Copper x2, Tin x1	2	3	na	false	false	0	2	2	15	15	high	Bronze		Common alloy for Black Forest gear
SurtlingCore	Surtling Core	material	true	2	All	drop		0		0	0	common	false	false	0	2	1	15	15	high	Surtling Core		Burial Chambers, Surtlings, bonfires, Dvergr lanterns; reference scale 15
PowderedDragonEgg	Powdered dragon eggshells	material	true	2	Black Forest	trader		0		0	0	na	false	true	120	4	1		120	high	Powdered Dragon Eggshells		Purchased from Bog Witch (120 coins)
PungentPebbles	Pungent pebbles	material	true	2	Black Forest	trader		0		0	0	na	false	true	125	4	1		125	high	Pungent Pebbles		Purchased from Bog Witch (125 coins)
FeastBlackforest_Material	Black Forest buffet platter	material	true	2	Black Forest	craft	Food preparation table	1	Deer stew x3, Thistle x5, Queen's jam x4, Woodland herb blend x1	4	13	na	true	false	0	2	5		45	high	Black Forest Buffet Platter		Feast requires multiple cooked/prepared ingredients from tier 2 stations
Ooze	Ooze	material	true	3	Swamp	drop		0		0	0	common	false	false	0	2	1	3	3	high	Ooze		Common drop from Blob/Oozer (Swamp)
Blackwood	Blackwood	material	true	3	Swamp	gather		0		0	0	na	false	false	0	2	1	4	4	high	Blackwood		Swamp wood material
Guck	Guck	material	true	3	Swamp	drop		0		0	0	common	false	false	0	2	1	4	8	high	Guck		Dropped by Abominations and Gucksacks in Swamps
WitheredBone	Withered Bone	material	true	3	Swamp	gather		0		0	0	common	false	false	0	2	1	8	8	high	Withered Bone		Found in Muddy scrap piles (Sunken Crypts); reference scale 8
Chain	Chain	material	true	3	Swamp	gather		0		0	0	na	false	false	0	3	1	12	12	high	Chain		Found in swamp dungeons
BlackMarble	Black marble	material	true	3	Swamp	gather		0		0	0	na	false	false	0	2	1		8	high	Black marble		
Root	Root	material	true	3	Swamp	drop		0		0	0	common	false	false	0	2	1		3	high	Root (item)		Common drop from Abomination (Swamp)
SerpentMeat	Serpent meat	material	true	3	Ocean	drop		0		0	0	common	false	false	0	2	1		10	high	Serpent Meat		Common drop from Serpent (Ocean)
SerpentScale	Serpent scale	material	true	3	Ocean	drop		0		0	0	common	false	false	0	2	1		8	high	Serpent Scale		Common drop from Serpent (Ocean)
TurnipSeeds	Turnip Seeds	material	true	3	Swamp	gather		0		0	0	na	false	false	0	2	1		3	high	Turnip Seeds		Gathered from Swamp, planted with Cultivator for Turnips
IronScrap	Scrap iron	material	true	3	Swamp	drop		0		0	0	uncommon	false	false	0	2	1	22	22	high	Scrap Iron		Reference scale: 22. From Sunken Crypts, Muddy scrap piles, Oozers (30%), Ancient weapons.
Iron	Iron	material	true	3	Swamp	smelt	Smelter	1	Scrap iron x1, Coal x1	2	2	na	false	false	0	2	2	25	25	high	Iron		Smelted from scrap iron or iron ore. Reference scale: 25.
BlobVial	Blob vial	material	true	3	Swamp	drop		0		0	0	uncommon	false	false	0	3	1		20	high	Blob vial		Drop from Blobs in Swamp
FireworksRocket_White	Basic fireworks	material	true	3	Swamp	trader		0		0	0	na	true	false	50	3	1		15	high	Basic fireworks		Purchased from Hildir after returning his bronze chest; boss-gated
FragrantBundle	Fragrant bundle	material	true	3	Swamp	trader		0		0	0	na	true	false	28	3	1		20	high	Fragrant Bundle		Purchased from Bog Witch for 140 coins per 5 items; gated by Moder defeat
FreshSeaweed	Fresh seaweed	material	true	3	Swamp	trader		0		0	0	na	false	false	15	3	1		15	high	Fresh Seaweed		Purchased from Bog Witch for 75 coins per 5 items
IronOre	Iron ore	material	true	3	Swamp	fish		0		0	0	rare	false	false	0	3	1		22	high	Iron Ore		Fishing bonus drop from Giant herring; no ore veins currently spawn in game.
SpiceOceans	Seafarer's Herbs	material	true	3	N/A	trader		0		0	0	na	true	false	26	3	1		26	high	Seafarer's Herbs		Bog Witch purchase (130 coins per 5), requires Serpent killed
FireworksRocket_Blue	Blue fireworks	material	true	3	Meadows	craft	Workbench	1	Basic fireworks x1, Blueberries x1	2	2	na	false	false	0	2	2		8	medium	Fireworks		Colored firework crafted from Basic fireworks + Blueberries; from Fireworks page
FireworksRocket_Cyan	Cyan fireworks	material	true	3	Meadows	craft	Workbench	1	Basic fireworks x1, Greydwarf eye x1	2	2	na	false	false	0	2	2		10	medium	Fireworks		Colored firework using Greydwarf eye
FireworksRocket_Green	Green fireworks	material	true	3	Swamp	craft	Workbench	1	Basic fireworks x1, Guck x1	2	2	na	false	false	0	2	2		12	medium	Fireworks		Colored firework using Swamp-tier Guck
FireworksRocket_Purple	Purple fireworks	material	true	3	Meadows	craft	Workbench	1	Basic fireworks x1, Turnip x1	2	2	na	false	false	0	2	2		8	medium	Fireworks		Colored firework using Turnip (Swamp, tier 3)
FireworksRocket_Red	Red fireworks	material	true	3	Meadows	craft	Workbench	1	Basic fireworks x1, Raspberry x1	2	2	na	false	false	0	2	2		8	medium	Fireworks		Colored firework using Meadows-tier Raspberry
FireworksRocket_Yellow	Yellow fireworks	material	true	3	Meadows	craft	Workbench	1	Basic fireworks x1, Dandelion x1	2	2	na	false	false	0	2	2		8	medium	Fireworks		Colored firework using Meadows-tier Dandelion
IronNails	Iron nails	material	true	3	Swamp	craft	Forge	1	Iron x1	1	1	na	false	false	0	2	2		4	high	Iron Nails		1 iron yields 10 nails (quantity 10); teleportable, used in building.
MeadBaseFrostResist	Mead base: Frost resistance	material	true	3	Mountains	brew	Mead ketill	1	Honey x10, Thistle x5, Bloodbag x2, Greydwarf eye x1	3	9	na	false	false	0	2	2		12	high	Frost Resistance Mead		Mead base; cold resistance buff; crafted at Mead ketill.
MeadBaseHealthMedium	Mead base: Medium healing	material	true	3	Plains	brew	Mead ketill	1	Honey x10, Bloodbag x4, Raspberries x10, Dandelion x1	3	8	na	false	false	0	2	2		15	medium	Medium Healing Mead		Mead base; medium health recovery; crafted at Mead ketill.
MeadBaseStrength	Mead base: Troll endurance	material	true	3	Plains	brew	Mead ketill	1	Trollfish x2, Honey x10, Powdered dragon eggshells x1	3	9	na	false	false	0	2	2		15	medium	Mead of Troll Endurance		Mead base; carry weight buff (+250); crafted at Mead ketill.
MeadBaseSwimmer	Mead base: Vananidir	material	true	3	Ocean	brew	Mead ketill	1	Dandelion x10, Perch x2, Fresh seaweed x1	3	11	na	false	false	0	2	2		14	medium	Draught of Vananidir		Mead base; swimming stamina reduction; crafted at Mead ketill.
Turnip	Turnip	material	true	3	Swamp	plant	Cultivator	0	Turnip seeds x1	1	1	na	false	false	0	2	2		3	high	Turnip		Farmed crop (4000-5000s grow time); cannot be eaten raw
FeastOceans_Material	Sailor's bounty	material	true	3	Ocean	craft	Food preparation table	1	Cooked fish x5, Thistle x4, Cooked serpent meat x2, Seafarer's herbs x1	4	12	na	true	false	0	2	5		55	high	Sailor's Bounty		Feast using fish and Serpent materials from ocean tier
FeastSwamps_Material	Swamp dweller's delight	material	true	3	Swamp	craft	Food preparation table	1	Sausages x8, Bloodbag x4, Turnip stew x2, Woodland herb blend x1	4	15	na	true	false	0	2	5		65	high	Swamp Dweller's Delight		Swamp feast, Woodland herb blend gated by Elder boss
FreezeGland	Freeze gland	material	true	4	Mountains	drop		0		0	0	uncommon	false	false	0	3	1	4	18	high	Freeze Gland		Dropped by Drakes in Mountains/Mistlands
Obsidian	Obsidian	material	true	4	Mountains	gather		0		0	0	na	false	false	0	2	1	4	4	high	Obsidian		Gathered from obsidian deposits in Mountains
WolfHairBundle	Fenris Hair	material	true	4	Mountain	gather		0		0	0	na	false	false	0	3	1	4	4	high	Fenris Hair		Found in Frost Caves (Mountain biome); reference scale 4
JuteRed	Red jute	material	true	4	Mountains	drop		0		0	0	uncommon	false	false	0	2	1	6	6	high	Red Jute		From Cultists or Frost Cave curtains; reference scale: 6.
WolfPelt	Wolf Pelt	material	true	4	Mountain	drop		0		0	0	common	false	false	0	2	1	6	6	high	Wolf Pelt		Dropped by Wolves in Mountains; reference scale 6
Crystal	Crystal	material	true	4	Mountains	gather		0		0	0	na	false	false	0	2	1	8	8	high	Crystal		Mountain ore
OnionSeeds	Onion seeds	material	true	4	Mountains	gather		0		0	0	na	false	false	0	2	1		2	high	Onion Seeds		Found in huts/ruins in Mountains
WolfFang	Wolf Fang	material	true	4	Mountain	drop		0		0	0	common	false	false	0	2	1		6	high	Wolf Fang		Dropped by Wolves, Fenrings, Ulvs in Mountains
WolfMeat	Wolf Meat	material	true	4	Mountain	drop		0		0	0	common	false	false	0	2	1		3	high	Wolf Meat		Dropped by Wolves in Mountains; cookable
SilverOre	Silver ore	material	true	4	Mountains	gather		0		0	0	na	false	false	0	2	1	36	36	high	Silver Ore		Reference: SilverOre = 36 in mod
Silver	Silver	material	true	4	Mountains	smelt	Smelter	2	Silver ore x1	1	1	na	false	false	0	2	2	40	40	high	Silver		Reference: Silver bar = 40 in mod
Ironpit	Iron pit	material	true	4	Mountains	trader		0		0	0	na	false	false	75	3	1		18	high	Iron Pit		Purchased from Hildir for 75 coins. Cannot be teleported without Portal stone.
SpiceMountains	Mountain Peak Pepper Powder	material	true	4	N/A	trader		0		0	0	na	true	false	28	3	1		28	high	Mountain Peak Pepper Powder		Bog Witch purchase (140 coins per 5), requires Moder defeated
Wisp	Wisp	material	true	4	Mountain	gather		0		0	0	na	false	false	0	3	1		6	high	Wisp		Gathered from Wisp fountains at night; reference scale 8
WolfClaw	Fenris Claw	material	true	4	Mountain	gather		0		0	0	na	false	false	0	3	1		6	high	Fenris Claw		Found on pedestals in Frost Caves (Mountain biome)
MeadBasePoisonResist	Mead base: Poison resistance	material	true	4	Swamp	brew	Mead ketill	1	Honey x10, Thistle x5, Neck tail x1, Coal x10	3	9	na	false	false	0	2	2		12	high	Poison Resistance Mead		Mead base; poison resistance buff; crafted at Mead ketill.
MeadBaseTamer	Mead base: Animal whispers	material	true	4	Plains	brew	Mead ketill	1	Onion x5, Carrot x10, Pungent pebbles x1	4	8	na	false	false	0	2	2		15	medium	Brew of Animal Whispers		Mead base; 2x taming speed buff; crafted at Mead ketill.
FeastMountains_Material	Hearty Mountain logger's stew	material	true	4	Mountains	craft	Food preparation table	1	Wolf skewer x2, Onion soup x3, Carrot x4, Mountain peak pepper powder x1	4	10	na	false	false	0	2	5		65	high	Hearty Mountain Logger's Stew		Mountain-tier feast requiring wolf meat and prepared ingredients
Barley	Barley	material	true	5	Plains	plant	Cultivator	0		0	0	na	false	false	0	2	1	3	3	high	Barley		Plains crop, common harvest
Flax	Flax	material	true	5	Plains	gather		0		0	0	uncommon	false	false	0	3	1	3	15	high	Flax		Harvested from Fuling Villages in Plains or grown with Cultivator
Needle	Needle	material	true	5	Plains	drop		0		0	0	common	false	false	0	2	1	6	6	high	Needle		Common drop from Deathsquito (Plains)
LoxPelt	Lox pelt	material	true	5	Plains	drop		0		0	0	common	false	false	0	2	1	8	8	high	Lox Pelt		Reference scale: 8. Drop from Lox; used in crafting and building.
LinenThread	Linen thread	material	true	5	Plains	craft	Spinning wheel	1	Flax x1	1	1	na	false	false	0	2	2	10	10	high	Linen Thread		Reference scale: 10. Crafted from Flax at Spinning wheel (~30s per thread).
BlackMetalScrap	Black metal scrap	material	true	5	Plains	gather		0		0	0	na	false	false	0	3	1	50	50	high	Black metal scrap		Found in Plains dungeons
BlackMetal	Black metal	material	true	5	Plains	smelt	Smelter	0	Black metal scrap x1	1	1	na	false	false	0	3	2	60	75	high	Black metal		Smelted from scrap found in Plains dungeons
LoxMeat	Lox meat	material	true	5	Plains	drop		0		0	0	common	false	false	0	2	1		6	high	Lox Meat		Drop from Lox in Plains; used in high-tier food recipes.
Tar	Tar	material	true	5	Plains	drop		0		0	0	common	false	false	0	2	1		4	high	Tar		Dropped by Growths in Plains, found in/around Tar pits
UndeadBjornRibcage	Vile Ribcage	material	true	5	Plains	drop		0		0	0	common	false	false	0	2	1		10	high	Vile Ribcage		Dropped by Vile in Plains; used for Vilebone crafting
SpicePlains	Grasslands Herbalist Harvest	material	true	5	N/A	trader		0		0	0	na	true	false	32	3	1		32	high	Grasslands Herbalist Harvest		Bog Witch purchase (160 coins per 5), requires Yagluth defeated
AxeHead1	Axe head 1	material	true	5	Plains	craft	Forge	2	Iron x4, Wood x2	2	6	na	false	false	0	2	2		40	medium	Axe head 1		Crafted component for complex tools
AxeHead2	Axe head 2	material	true	5	Plains	craft	Forge	2	Iron x5, Wood x3	2	8	na	false	false	0	2	2		50	medium	Axe head 2		Crafted component for complex tools
MeadBaseBugRepellent	Mead base: Anti-sting	material	true	5	Plains	brew	Mead ketill	1	Cloudberries x10, Grouper x3, Fragrant bundle x1	3	7	na	false	false	0	2	2		10	high	Anti-Sting Concoction		Mead base; crafted at Mead ketill; requires fermentation.
MeadBaseBzerker	Mead base: Berserkir	material	true	5	Plains	brew	Mead ketill	1	Mushroom x10, Yellow mushroom x10, Toadstool x1	3	25	na	false	false	0	2	2		15	medium	Berserkir Mead		Mead base; potent but risk/reward (weak to damage); crafted at Mead ketill.
MeadBaseHasty	Mead base: Ratatosk	material	true	5	Plains	brew	Mead ketill	1	Honey x10, Blueberries x10	3	16	na	false	false	0	2	2		14	medium	Tonic of Ratatosk		Mead base; speed buff; crafted at Mead ketill.
MeadBaseLightFoot	Mead base: Lightfoot	material	true	5	Plains	brew	Mead ketill	1	Scale hide x2, Feathers x5	4	8	na	false	false	0	2	2		13	medium	Lightfoot Mead		Mead base; jump buff; crafted at Mead ketill.
MeadBaseStaminaLingering	Mead base: Lingering stamina	material	true	5	Plains	brew	Mead ketill	1	Sap x10, Cloudberries x10, Jotun puffs x10	3	9	na	false	false	0	2	2		13	medium	Lingering Stamina Mead		Mead base; stamina regen buff; crafted at Mead ketill.
MeadBaseStaminaMedium	Mead base: Medium stamina	material	true	5	Plains	brew	Mead ketill	1	Honey x10, Cloudberries x10, Yellow mushroom x10	3	8	na	false	false	0	2	2		12	medium	Medium Stamina Mead		Mead base; medium stamina recovery; crafted at Mead ketill.
MeadBaseStaminaMinor	Mead base: Minor stamina	material	true	5	Plains	brew	Mead ketill	1	Honey x10, Raspberries x10, Yellow mushroom x10	3	7	na	false	false	0	2	2		12	high	Minor Stamina Mead		Mead base; basic stamina recovery; reference scale: 12.
VikingCupcakeUncooked	Unbaked Sweetbread	material	true	5	N/A	craft	Food preparation table	0	Farm ingredients	1	1	na	false	false	0	2	2		10	high	Frosted Sweetbread		Uncooked food; baked at Stone oven to Frosted Sweetbread
BombSiege	Bomb siege	material	true	5	Plains	craft	Forge	2	Black metal x2, Turnip x1, Thistle x1	3	4	na	false	false	0	2	3		50	high	Bomb siege		Crafted ammunition for siege weapons
Catapult_ammo	Catapult training ammo	material	true	5	Plains	craft	Forge	2	Black metal x1, Turnip x1, Thistle x1	3	3	na	false	false	0	2	3		40	high	Catapult ammo		Siege weapon ammunition
LoxPieUncooked	Unbaked lox pie	material	true	5	Plains	craft	Food preparation table	1	Cloudberries x2, Lox meat x2, Barley flour x4	3	3	na	false	false	0	2	3		15	medium	Lox Meat Pie		Uncooked food; crafted at cooking station with multiple ingredient types.
BarleyWineBase	Barley wine base	material	true	5	Plains	brew	Mead ketill	0	Barley x10, Cloudberries x10	3	6	na	false	false	0	3	2		30	high	Barley wine base		Brewing ingredient requiring honey from Plains
ShieldCore	Shield core	material	true	5	Plains	craft	Artisan table	2	Black core x1, Surtling core x1, Ceramic plate x5	3	7	na	false	false	0	3	3		40	high	Shield Core		Artisan table craft with diverse ingredients
FeastPlains_Material	Plains pie picnic	material	true	5	Plains	craft	Food preparation table	1	Bread x3, Lox meat pie x2, Cloudberries x5, Grasslands herbalist harvest x1	4	11	na	false	false	0	2	5		95	high	Plains Pie Picnic		Plains feast with Lox meat pie and cultivated ingredients
Bloodbag	Bloodbag	material	true	6	Mistlands	gather		0		0	0	na	false	false	0	2	1	3	15	high	Bloodbag		Mistlands material
RoundLog	Corewood	material	true	6	Mistlands	gather		0		0	0	na	false	false	0	2	1	3	10	high	Corewood		Wood from pine trees in Mistlands
Chitin	Chitin	material	true	6	Mistlands	drop		0		0	0	common	false	false	0	2	1	5	15	high	Chitin		Common drop from Mistlands creatures
YggdrasilWood	Yggdrasil Wood	material	true	6	Mistlands	gather		0		0	0	na	false	false	0	2	1	5	5	high	Yggdrasil Wood		Gathered from Yggdrasil shoots in Mistlands (Black metal axe+); reference scale 5
Sap	Sap	material	true	6	Mistlands	gather		0		0	0	na	false	false	0	2	1	6	6	high	Sap		Gathered from trees in Mistlands
ScaleHide	Scale hide	material	true	6	Mistlands	drop		0		0	0	common	false	false	0	2	1	6	6	high	Scale Hide		Common drop from Hare (Mistlands)
JuteBlue	Blue jute	material	true	6	Mistlands	gather		0		0	0	common	false	false	0	2	1	8	8	high	Blue Jute		Gathered from destroyed Dvergr structures (curtains, drapes). Reference scale: 8.
Softtissue	Soft Tissue	material	true	6	Mistlands	gather		0		0	0	na	false	false	0	3	1	8	8	high	Soft Tissue		Mined from Giant Remains in Mistlands (50% yield), also Ashlands
Carapace	Carapace	material	true	6	Mistlands	drop		0		0	0	common	false	false	0	2	1	10	10	high	Carapace		Common drop from Mistlands creatures
Eitr	Eitr	material	true	6	Mistlands	craft	Eitr refinery	0	Sap x1, Soft tissue x1	0	0	na	false	false	0	2	2	45	35	high	Eitr		Mistlands magic essence
BoneMawSerpentMeat	Bonemaw serpent meat	material	true	6	Mistlands	drop		0		0	0	common	false	false	0	2	1		25	high	Bonemaw serpent meat		Mistlands creature meat drop
BonemawSerpentScale	Bonemaw serpent scale	material	true	6	Mistlands	drop		0		0	0	common	false	false	0	2	1		25	high	none		Mistlands creature material drop
BugMeat	Bug meat	material	true	6	Mistlands	drop		0		0	0	common	false	false	0	2	1		20	high	Bug meat		Mistlands creature meat
Ectoplasm	Ectoplasm	material	true	6	Mistlands	gather		0		0	0	na	false	false	0	2	1		15	high	Ectoplasm		Mistlands resource
HareMeat	Hare meat	material	true	6	Mistlands	drop		0		0	0	common	false	false	0	2	1		5	high	Hare Meat		1 per hare kill (0-star); used in high-tier food recipes.
Mandible	Mandible	material	true	6	Mistlands	drop		0		0	0	uncommon	false	false	0	2	1		8	high	Mandible		Drop from Seeker Soldier in Mistlands; used in carapace armor crafting.
MeatPlatterUncooked	Uncooked meat platter	material	true	6	Black Forest	craft	Food preparation table	1	Raw meat mix	1	1	na	false	false	0	2	1		4	medium	Meat Platter		Intermediate food item
MisthareSupremeUncooked	Uncooked misthare supreme	material	true	6	Mistlands	craft	Food preparation table	1	Misthare meat	1	1	na	false	false	0	2	1		6	high	Misthare Supreme		Intermediate food from Mistlands
BellFragment	Bell fragment	material	true	6	Mistlands	gather		0		0	0	na	false	false	0	3	1		35	high	Bell fragment		Mistlands loot material, limited availability
BonemawSerpentTooth	Bonemaw serpent tooth	material	true	6	Mistlands	drop		0		0	0	uncommon	false	false	0	3	1		30	high	Bonemaw serpent tooth		Mistlands creature material drop
DvergrNeedle	Dvergr needle	material	true	6	Mistlands	gather		0		0	0	na	false	false	0	3	1		40	high	Dvergr needle		Mistlands advanced component
